,user,coordinates,location,tweet
214,WolverineResist,,North America,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
215,AloSlay,,,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
216,Quackoscope,,,RT gorskon Oh dear Someone thought I was being an asshole because I said Good riddance to bad rubbish about that nurse who made a
217,drmaypole,,,RT MAhealthforkids CDCs Advisory Committee on Immunization Practices meets today to discuss define amp vote on recommendations for Pfizer
218,BIG_Brooklyn,,United States,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
219,ginny4323,,,RT ColetteRTX This vaccine mandate crap needs to stop Wake up to understand it is NOT A VACCINE Many health experts say it is des
220,DaleElster,,"Auburn, NY",RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
221,dlemire60,,"Maryland, USA",RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
222,soloyochapin,,"Chicago, IL",TheRealHoarse MichaelBerrySho all they had to do was COMPLY with the COVIDVaccine mandateGetVaccinatedNow
223,RedEyeCoffeeGuy,,,RT realGGoswami UPDATEEntries in TGA Australia DAEN Database 11th Oct 17th Oct 2021 for MODERNA COVIDVaccine Myocarditi
224,LivingWellNT,,North Tyneside,RT TyneHealth Our best form of defence against COVID19 particularly during the colder autumn amp winter months is the CovidVaccine The
225,StamsterS,,"Belgrade, Republic of Serbia",RT DrJohnB2 From the experience of SARSCoV vaccine development the development of COIVD19 vaccines should pay attention to ADE antib
226,ELVISGI,,Jalisco,RT DrJohnB2 The incidence of myocarditis is increased after the receipt of the COVIDVaccine PfizerBioNTech particularly after the se
227,BBNToday,,Big Blue Nation,RT goldingkentucky Will Texas universities mandate a COVID19 vaccination as required by the federal government for contractors Billions
228,DanCastaRi13,,"Sacramento, CA",RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
229,Mkrmnzl,,"Ataşehir, İstanbul",RT DrJohnB2 The incidence of myocarditis is increased after the receipt of the COVIDVaccine PfizerBioNTech particularly after the se
230,emmafriedmann,,"Leicester, England",CovidVaccine for kidsStill think the benefits outweigh riskDo you hear media reports on Declaration of Intere
231,ChanakyaDissan1,,Colombo Sri Lanka,RT rajeevmenonsl Thank you to the Government of Srilanka on behalf of all the health care workers for arranging a booster dose of the
232,munza14,,Based in Sri Lanka,RT rajeevmenonsl Thank you to the Government of Srilanka on behalf of all the health care workers for arranging a booster dose of the
233,laurelworlds,, west PA to Glasgow Scotland,Drink peppermint tea for the first two weeks after getting your CovidVaccine to alleviate stomach discomfort and n
234,LucRenilla,,,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
235,IanThom02972688,,,4Patrick7 Please listen to this lady she speaks the truthA dark future awaits if we dont push back while we ca
236,jfmezei,,Montreal Canada,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
237,12Faya,,,RT DrJohnB2 22yearold man 5 days after the first dose of the Covidvaccine PfizerBioNTech chest pain then became unconscious A
238,PassageParadise,,,We must everyday TRUST IN GOD and take up the CROSS OF JESUS to OVERCOME this world Proverbs 356 Matthew 1038
239,flajeffreyt,,"Floriduh, USA",RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
240,LIBMedicine,,"Oakdale, NY",RT CapPressRoom The initial campaign to vaccinate adult New Yorkers for COVID19 focused on largescale staterun facilitiesThe head
241,Joellenhale4,,Beautiful Finger Lakes,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
242,rajeevmenonsl,,Sri Lanka,Thank you to the Government of Srilanka on behalf of all the health care workers for arranging a booster dose of
243,ClevelandBCDI,,"Cleveland, OH",Trust the vaccine to save your life and the life of your loved one REGISTER for the NOVEMBER 5 COVID CLINIC Warr
244,Lori38911623,,USA,RT DrVeroPimentel COVIDVaccine Dose 1 and Dose 2
245,vaxblr,,"Bengaluru, India",45 BBMP Bengaluru CovidVaccine Availability for 0211 at 0430PMFREE Slots 0PAID Slots COVISHIELD Dose11
246,vaxblr,,"Bengaluru, India",45 URBAN Bengaluru CovidVaccine Availability for 0211 at 0430PMFREE Slots 0PAID Slots COVISHIELD Dose1
247,Sealdiver,,"Northumberland, UK",Over 16Havent had yet had a COVIDVaccine If you initially declined vaccination but have now changed your min
248,vaxblr,,"Bengaluru, India",45 RURAL Bengaluru CovidVaccine Availability for 0211 at 0430PMFREE Slots 0PAID Slots 0
249,pmk707,,"Florida, USA",RT DrJohnB2 The incidence of myocarditis is increased after the receipt of the COVIDVaccine PfizerBioNTech particularly after the se
250,inescantunes,,,RT DrVeroPimentel COVIDVaccine Dose 1 and Dose 2
251,Joesiy,,,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
252,GregBeninati,,Born in Jersey Live in Vegas,RT DrJohnB2 From the experience of SARSCoV vaccine development the development of COIVD19 vaccines should pay attention to ADE antib
253,Troy_G65,,Pittsburgh. Pa,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
254,juliabhaber,,"New York, NY",RT DrVeroPimentel COVIDVaccine Dose 1 and Dose 2
255,KishanChhawari,,India,RT timesofindia Benoit Paire unconcerned if unvaccinated dont play Australian Open READ BenoitPaire Austra
256,AGomezler,,,RT gorskon Oh dear Someone thought I was being an asshole because I said Good riddance to bad rubbish about that nurse who made a
257,mirupamerope,,,RT DrJohnB2 From the experience of SARSCoV vaccine development the development of COIVD19 vaccines should pay attention to ADE antib
258,indianfirsst,,,RT parakala 1 Billion Jabs Lets Join the CelebrationMidweek Matters 35Covid19 onebilliondoses onebillionvaccination Covid Co
259,MargretFoerster,,Lancre,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
260,Dave04480882,,,4Patrick7 Brilliantly put please wake up peopleCOVID19 COVID COVIDVaccination COVIDVaccine COVIDIOTS
261,jtkstc,,USA,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
262,Ste_Cammy,,,How true are these rumours that the UKGovernment are thinking of punishing people for FALSE information on THE VA
263,Rome_Tee,,,RT AntonyRobart Am important declaration from Ontario MOH You either get immunity from natural exposure to this virus orthrough the v
264,NickEl82710606,,Vanier,RT nilikm A day in the life of family med 22 months into COVID19 Gave 150 people today flu shots Lovely to immunize a child parent
265,JG_college,,,RT goldingkentucky Will Texas universities mandate a COVID19 vaccination as required by the federal government for contractors Billions
266,Collegecovid19,,"Lexington, KY",RT goldingkentucky Will Texas universities mandate a COVID19 vaccination as required by the federal government for contractors Billions
267,kimdianaconnoll,,"Buffalo, NY",RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
268,goldingkentucky,,"Lexington, KY",Will Texas universities mandate a COVID19 vaccination as required by the federal government for contractors Billi
269,msjoku,,Antarctica,RT acweyand Over the last 2 days Ive received almost 200 DMs from parents asking about the COVIDVaccine EUA for 511 yo This is a o
270,timesofindia,,New Delhi,Benoit Paire unconcerned if unvaccinated dont play Australian Open READ BenoitPaire
271,Rustybe96849965,,,RT DrJohnB2 The incidence of myocarditis is increased after the receipt of the COVIDVaccine PfizerBioNTech particularly after the se
272,nickiteaching,,Meeanjin (Brisbane) Australia ,RT MAhealthforkids CDCs Advisory Committee on Immunization Practices meets today to discuss define amp vote on recommendations for Pfizer
273,RLMollyPitcher,,,RT DrJohnB2 The incidence of myocarditis is increased after the receipt of the COVIDVaccine PfizerBioNTech particularly after the se
274,shannra666,,,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
275,sadpastie,,"England, United Kingdom",Just received my booster from a retired consultant orthopedic surgeon who is volunteering to get the vaccine to as
276,DeniseCrokeHPO,,,RT HSELive If you are immunocompromised you may be offered another COVIDVaccine dose A weak immune system means you may not have respon
277,DanielKaylor4,,"Daytona Beach, FL",RT Nance726 for those that have recovered from Covidmonoclonal antibody plasma donation is option amp its called directed donation
278,Jonny_198732,,That Gloucester bit of England,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
279,whazzzzzupppp,,myspace,RT 5Djindji The incidence of myocarditis is increased after the receipt of the COVIDVaccine PfizerBioNTech particularly after the se
280,MarcusFitzsimon,,Liverpool,RT AlisonGeorge10 BBCBreakfast bbc5live AskJVT Professor VanTam please could you explain why adolescents are still being denied
281,HarunCenkErman1,,,RT DrJohnB2 From the experience of SARSCoV vaccine development the development of COIVD19 vaccines should pay attention to ADE antib
282,ThingsYouNeed2K,,,RT DoubleOhNever COVID19 Covid19Ireland COVID19 CovidUK covidbriefing COVID19Vaccine CovidVaccine GreatReset VaccinePassports
283,MAhealthforkids,,"Massachusetts, USA",CDCs Advisory Committee on Immunization Practices meets today to discuss define amp vote on recommendations for Pfi
284,AmericaWins1ST,,USA,RT DrJohnB2 The incidence of myocarditis is increased after the receipt of the COVIDVaccine PfizerBioNTech particularly after the se
285,csular,,"Ankara, Türkiye",RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
286,rachralya,,NM,RT rubinallergy The riskbenefit analysis regarding the COVIDVaccine for kids is NOT just about reducing mortality its al
287,vaxblr,,"Bengaluru, India",1844 BBMP Bengaluru CovidVaccine Availability for 0211 at 0400PMFREE Slots COVISHIELD Dose12715 Dose2
288,vaxblr,,"Bengaluru, India",1844 URBAN Bengaluru CovidVaccine Availability for 0211 at 0400PMFREE Slots 0PAID Slots COVISHIELD Dose
289,vaxblr,,"Bengaluru, India",1844 RURAL Bengaluru CovidVaccine Availability for 0211 at 0400PMFREE Slots COVISHIELD Dose152 Dose24
290,mazda23201,,,RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
291,kovich_canada,,Canada,RT DrJohnB2 1n A microscopy analysis of a Moderna Covidvaccine sampleA fresh sample was analyzed with bright field and phase contra
292,LuneraRT,,"Medellín, Colombia",RT DrVeroPimentel COVIDVaccine Dose 1 and Dose 2
293,THeNBLeNDr,,Yuma AZ USA,RT DrJohnB2 From the experience of SARSCoV vaccine development the development of COIVD19 vaccines should pay attention to ADE antib
294,mrslouiseharris,,Surrey,RT charlMidwife I am seeing more pregnant women in antenatal clinics wanting the COVID19 vaccination I feel as though the message is ge
295,DawnBreaks_KR,,,RT DrJohnB2 From the experience of SARSCoV vaccine development the development of COIVD19 vaccines should pay attention to ADE antib
296,MarciaPinho19,,"Porto, Portugal",RT DrJohnB2 From the experience of SARSCoV vaccine development the development of COIVD19 vaccines should pay attention to ADE antib
297,marcia_pinho,,Brazil,RT DrJohnB2 From the experience of SARSCoV vaccine development the development of COIVD19 vaccines should pay attention to ADE antib
298,realrmwoisi,,,RT Nance726 for those that have recovered from Covidmonoclonal antibody plasma donation is option amp its called directed donation
299,macdosha,,"Stoney Creek, Ontario",RT JulieNimoy My Dad believed strongly in creating awareness for respiratory disease he would have loved this billboard covid19 covi
